Country/Region,Population (2020),Density (P/Km²)
Afghanistan,38742911,60
Albania,2878420,105
Algeria,43685618,18
Angola,32644783,26
Antigua and Barbuda,97764,223
Argentina,45111229,17
Armenia,2962137,104
Aruba,106675,593
Australia,25439164,3
Austria,8996022,109
Azerbaijan,10120555,123
Bahamas,392477,39
Bahrain,1688629,2239
Bangladesh,164354176,1265
Barbados,287305,668
Belarus,9449940,47
Belgium,11579477,383
Belize,396120,17
Benin,12055347,108
Bhutan,769867,20
Bolivia,11640159,11
Bosnia and Herzegovina,3284806,64
Botswana,2341649,4
Brazil,212253150,25
Brunei,436624,83
Bulgaria,6958627,64
Burkina Faso,20780371,76
Burundi,11814346,463
Cabo Verde,554750,138
Cambodia,16671185,95
Cameroon,26405174,56
Canada,37674770,4
Central African Republic,4812256,8
Chad,16324440,13
Channel Islands,173536,915
Chile,19082804,26
China,1438207241,153
Colombia,50771878,46
Comoros,865696,467
Congo,5489191,16
Costa Rica,5084636,100
Croatia,4110214,73
Cuba,11327988,106
Curaçao,163958,370
Cyprus,1205577,131
Czech Republic (Czechia),10705012,139
Côte d'Ivoire,26239250,83
DR Congo,88972681,40
Denmark,5788108,137
Djibouti,985027,43
Dominican Republic,10825682,225
Ecuador,17587526,71
Egypt,101930276,103
El Salvador,6479609,313
Equatorial Guinea,1392950,50
Eritrea,3536285,35
Estonia,1326357,31
Eswatini,1157707,67
Ethiopia,114357494,115
Fiji,895128,49
Finland,5539002,18
France,65244628,119
French Guiana,297029,4
French Polynesia,280580,77
Gabon,2214593,9
Gambia,2402083,239
Georgia,3990681,57
Germany,83730223,240
Ghana,30936375,137
Greece,10433037,81
Grenada,112418,331
Guadeloupe,400110,237
Guam,168474,313
Guatemala,17846248,167
Guinea,13056478,53
Guinea-Bissau,1958132,70
Guyana,785788,4
Haiti,11373955,414
Honduras,9871892,89
Hong Kong,7484618,7140
Hungary,9665192,107
Iceland,340795,3
India,1377233523,464
Indonesia,272931713,151
Iran,83771587,52
Iraq,40031626,93
Ireland,4926480,72
Israel,8627444,400
Italy,60479424,206
Jamaica,2958567,273
Japan,126552765,347
Jordan,10182442,115
Kazakhstan,18730568,7
Kenya,53521116,94
Kiribati,119069,147
Kuwait,4257495,240
Kyrgyzstan,6501804,34
Laos,7253719,32
Latvia,1890218,30
Lebanon,6831445,667
Lesotho,2138799,71
Liberia,5032469,53
Libya,6852010,4
Lithuania,2729553,43
Luxembourg,623861,242
Macao,647508,21645
Madagascar,27539106,48
Malawi,19024426,203
Malaysia,32280610,99
Maldives,538558,1802
Mali,20125282,17
Malta,441308,1380
Martinique,375323,354
Mauritania,4623535,5
Mauritius,1271347,626
Mayotte,271417,728
Mexico,128655589,66
Micronesia,114776,164
Moldova,4035814,123
Mongolia,3267320,2
Montenegro,628050,47
Morocco,36820713,83
Mozambique,31067362,40
Myanmar,54335948,83
Namibia,2531290,3
Nepal,29027347,203
Netherlands,17127290,508
New Caledonia,284938,16
New Zealand,4814272,18
Nicaragua,6608366,55
Niger,24014064,19
Nigeria,205052107,226
North Korea,25756088,214
North Macedonia,2083391,83
Norway,5412632,15
Oman,5078933,16
Pakistan,219992900,287
Panama,4300667,58
Papua New Guinea,8911530,20
Paraguay,7114524,18
Peru,32876986,26
Philippines,109280343,368
Poland,37854825,124
Portugal,10202571,111
Puerto Rico,2874636,323
Qatar,2870922,248
Romania,19262731,84
Russia,145922010,9
Rwanda,12883878,525
Réunion,894017,358
Saint Lucia,183458,301
Samoa,198147,70
Sao Tome & Principe,218308,228
Saudi Arabia,34701377,16
Senegal,16649599,87
Serbia,8744288,100
Seychelles,98224,214
Sierra Leone,7942879,111
Singapore,5840996,8358
Slovakia,5459116,114
Slovenia,2078881,103
Solomon Islands,683301,25
Somalia,15798020,25
South Africa,59154802,49
South Korea,51260395,527
South Sudan,11166783,18
Spain,46751175,94
Sri Lanka,21395196,341
St. Vincent & Grenadines,110869,284
State of Palestine,5076280,847
Sudan,43632213,25
Suriname,585561,4
Sweden,10086531,25
Switzerland,8641786,219
Syria,17410293,95
Taiwan,23808164,673
Tajikistan,9492342,68
Tanzania,59368313,67
Thailand,69764925,137
Timor-Leste,1313184,89
Togo,8237580,152
Tonga,105449,147
Trinidad and Tobago,1398579,273
Tunisia,11793319,76
Turkey,84153250,110
Turkmenistan,6012850,13
U.S. Virgin Islands,104456,298
Uganda,45427637,229
Ukraine,43785122,75
United Arab Emirates,9865845,118
United Kingdom,67814098,281
United States,330610570,36
Uruguay,3471314,20
Uzbekistan,33368859,79
Vanuatu,305623,25
Venezuela,28451828,32
Vietnam,97160127,314
Western Sahara,594215,2
Yemen,29687214,56
Zambia,18273379,25
Zimbabwe,14818157,38
