Country/Region,Total COVID-19 Cases (9/14/20)
Afghanistan,38772
Albania,11520
Algeria,48496
Andorra,1438
Angola,3439
Antigua and Barbuda,95
Argentina,565446
Armenia,45969
Australia,26739
Austria,33541
Azerbaijan,38403
Bahamas,3008
Bahrain,60965
Bangladesh,339332
Barbados,183
Belarus,74360
Belgium,94306
Belize,1501
Benin,2267
Bhutan,245
Bolivia,127619
Bosnia and Herzegovina,23635
Botswana,2463
Brazil,4345610
Brunei,145
Bulgaria,18061
Burkina Faso,1717
Burma,3195
Burundi,472
Cabo Verde,4839
Cambodia,275
Cameroon,20228
Canada,140098
Central African Republic,4772
Chad,1085
Chile,436433
China,90219
Colombia,721892
Comoros,457
Congo (Brazzaville),4934
Congo (Kinshasa),10390
Costa Rica,57361
Cote d'Ivoire,19066
Croatia,13598
Cuba,4726
Cyprus,1534
Czechia,37222
Denmark,20674
Diamond Princess,712
Djibouti,5396
Dominica,24
Dominican Republic,104110
Ecuador,118911
Egypt,101177
El Salvador,27009
Equatorial Guinea,5000
Eritrea,361
Estonia,2698
Eswatini,5104
Ethiopia,64786
Fiji,32
Finland,8627
France,425870
Gabon,8654
Gambia,3405
Georgia,2392
Germany,263222
Ghana,45601
Greece,13420
Grenada,24
Guatemala,82172
Guinea,10061
Guinea-Bissau,2275
Guyana,1884
Haiti,8499
Holy See,12
Honduras,68620
Hungary,13153
Iceland,2168
India,4846427
Indonesia,221523
Iran,404648
Iraq,294478
Ireland,31192
Israel,160368
Italy,288761
Jamaica,3933
Japan,75914
Jordan,3528
Kazakhstan,106920
Kenya,36205
"Korea, South",22391
Kosovo,12683
Kuwait,95472
Kyrgyzstan,44928
Laos,23
Latvia,1477
Lebanon,25401
Lesotho,1245
Liberia,1321
Libya,23515
Liechtenstein,111
Lithuania,3386
Luxembourg,7244
MS Zaandam,9
Madagascar,15769
Malawi,5697
Malaysia,9946
Maldives,9243
Mali,2935
Malta,2405
Mauritania,7295
Mauritius,361
Mexico,671716
Moldova,43207
Monaco,177
Mongolia,311
Montenegro,6900
Morocco,88203
Mozambique,5482
Namibia,9818
Nepal,55329
Netherlands,87194
New Zealand,1801
Nicaragua,4818
Niger,1180
Nigeria,56388
North Macedonia,15827
Norway,12276
Oman,90222
Pakistan,302424
Panama,102204
Papua New Guinea,511
Paraguay,28367
Peru,729619
Philippines,265888
Poland,74529
Portugal,64596
Qatar,121975
Romania,104187
Russia,1064438
Rwanda,4602
Saint Kitts and Nevis,17
Saint Lucia,27
Saint Vincent and the Grenadines,64
San Marino,722
Sao Tome and Principe,906
Saudi Arabia,326258
Senegal,14306
Serbia,32437
Seychelles,140
Sierra Leone,2111
Singapore,57454
Slovakia,5580
Slovenia,3749
Somalia,3389
South Africa,650749
South Sudan,2587
Spain,593730
Sri Lanka,3262
Sudan,13535
Suriname,4611
Sweden,86505
Switzerland,47436
Syria,3576
Taiwan,499
Tajikistan,9088
Tanzania,509
Thailand,3475
Timor-Leste,27
Togo,1578
Trinidad and Tobago,3141
Tunisia,7382
Turkey,292878
United States,6553652
Uganda,4978
Ukraine,160679
United Arab Emirates,80266
United Kingdom,373555
Uruguay,1812
Uzbekistan,47836
Venezuela,61569
Vietnam,1063
West Bank and Gaza,31362
Western Sahara,10
Yemen,2013
Zambia,13720
Zimbabwe,7531
